,user_names,user_levels,user_stars,omments,create_times,order_infos
0,小***3,PLUS会员,5,"星光色;128GB
完美x*拍摄方面，前置采用新的原
深感镜头
1.9&mu;m 像素，支 持自动对焦，
即使在低亮度环境下也能实现较快
的对焦 速度后置依旧依旧采用
1200万像素广角/超广角双摄配
置，全新的1200万像素主摄像头
，
传感器更大，单位 像素达到1.9
&mu;m，F/1.5 光圈，传感器位移
OIS，低光捕 获提高了 49%。夜间
模式曝光速度提升两倍。视频新
增运动防抖模式，动态拍摄更加
稳定。用了快半月，没有 出现起
热，卡顿的现象，对干我不玩游戏
的人来说，14 挺好的，刚开始买
的时候看见评论，
各种担心，用了
- 段时间后感觉很不错，屏幕非
常细膩．很好，看上去非 常舒服
比一般手机强多了，
音效也很高，
听歌很舒适，值得推荐。早买早享
受!14拍照真的很好看!比 13强太
多啦，拍视频也绝绝子!很喜欢紫
色!而且电池的使用 时间也比之前
的机型要棒很多，因为不喜欢灵动
岛，所 以买了这个标准版，还是
这个看起来顺眼。续航能力很好，
拍照效果很清晰，运行速度很畅
快
，非常不错，午夜 色比较清晰.
靓丽，外形外观，没有多大改变，
刘治专林大的峦化
攥像头",2022-11-24 14:51,星光色128GB
1,v***塔,PLUS会员,5,完美** 拍摄方面，前置采用新的原深感镜头，1.9&mu;m像素，支 持自动对焦，即使在低亮度环境下也能实现较快的对焦 速度，后置依旧依旧采用1200万像素广角/超广角双摄 配置，全新的1200 万像素主摄像头，传感器更大，单位 像素达到1.9 &mu;m，F/1.5光圈，传感器位移 OIS，低光捕 获提高了49%。夜间模式曝光速度提升两倍。视频新增 运动防抖模式，动态拍摄更加稳定。用了快半月，没有 出现起热，卡顿的现象，对于我不玩游戏的人来说，14 挺好的，刚开始买的时候看见评论，各种担心，用了一 段时间后感觉很不错，屏幕非常细腻，很好，看上去非 常舒服，比一般手机强多了，音效也很高，听歌很舒适， 值得推荐。早买早享受！14拍照真的很好看！比13强太 多啦，拍视频也绝绝子！很喜欢紫色！而且电池的使用 时间也比之前的机型要棒很多，因为不喜欢灵动岛，所 以买了这个标准版，还是这个看起来顺眼。续航能力很 好，拍照效果很清晰，运行速度很畅快，非常不错，午夜 色比较清晰_靓丽，外形外观，没有多大改变，刘海 有较大的变化，摄像头排布没有变化，运行速度挺快， 流畅度也没的说，总体效果，很满意，很喜欢。,2022-11-24 14:51,星光色128GB
2,****5,,5,完美下车 拍摄方面，前置采用新的原深感镜头，1.9μm像素，支 持自动对焦，即使在低亮度环境下也能实现较快的对焦 速度，后置依旧依旧采用1200万像素广角/超广角双摄 配置，全新的1200 万像素主摄像头，传感器更大，单位 像素达到1.9 μm，F/1.5光圈，传感器位移 OIS，低光捕 获提高了49%。夜间模式曝光速度提升两倍。视频新增 运动防抖模式，动态拍摄更加稳定。用了快半月，没有 出现起热，卡顿的现象，对于我不玩游戏的人来说，14 挺好的，刚开始买的时候看见评论，各种担心，用了一 段时间后感觉很不错，屏幕非常细腻，很好，看上去非 常舒服，比一般手机强多了，音效也很高，听歌很舒适， 值得推荐。早买早享受！14拍照真的很好看！比13强太 多啦，拍视频也绝绝子！很喜欢紫色！而且电池的使用 时间也比之前的机型要棒很多，因为不喜欢灵动岛，所 以买了这个标准版，还是这个看起来顺眼。续航能力很 好，拍照效果很清晰，运行速度很畅快，非常不错，午夜 色比较清晰_靓丽，外形外观，没有多大改变，刘海 有较大的变化，摄像头排布没有变化，运行速度挺快， 流畅度也没的说，总体效果，很满意，很喜欢。,2022-11-24 14:51,星光色128GB
3,****e,PLUS会员,5,"食食食含
完美* 拍摄方面，前置采用新的原深感镜头，1.92mu;m条素，支 持言动对焦，即使在低亮度环境下也能实现较快的对焦 速度，
置依日农日采用1200万像素广角/超广角双摄 配置，全新的1200万像素主摄像头，传感器更大，单位 像素达到1.9 &mu;m. F/1.5
光愚，传感器位格 OIS，低光捕 获提高了49%。夜司模式曝光速度提开两倍。视频新增 运动防抖模式，动态拍摄更加稳定。用了快
半月，没有 出现起热，卡顿的现象，对于我不玩游戏的人来说 14 廷好的，刚开始买的时候看见评论，各种担心，用了一段时间
后感觉很不错，屏幕非常細腻，很好，看上去非 常舒服，比一股手机强客了，育效也很高，听歌很舒适，值得推荐。早买早享受！
14拍照真的很好看！比13强大 多啦，拍沉频也绝绝子！很喜欢紫色：而里电池的境用 时司也比之前的机型要楼很多，因为不喜欢灵
动鸟，所以买了这个标准版，还是这个看起来顺眼。续航能力很好，拍照效果很清晰，运行速度很畅快，非常不错，午夜 色比较
清晰_靓丽，外形外观，没有多大改变，刘海 有较大的变化，摄像头排布没有交化，运行速度挺快，流畅度也没的说，总体效果",2022-11-24 14:51,星光色128GB
4,****3,PLUS会员,5,拍摄方面，前置采用新的原深感镜头，1.9μm像素，支持自动对焦，即使在低亮度环境下也能实现较快的对焦速度，后置依旧依旧采用1200万像素广角/超广角双摄配置，全新的1200 万像素主摄像头，传感器更大，单位像素达到1.9 μm，F/1.5光圈，传感器位移 OIS，低光捕获提高了49%。夜间模式曝光速度提升两倍。视频新增运动防抖模式，动态拍摄更加稳定。用了快半月，没有出现起热，卡顿的现象，对于我不玩游戏的人来说，14挺好的，刚开始买的时候看见评论，各种担心，用了一段时间后感觉很不错，屏幕非常细腻，很好，看上去非常舒服，比一般手机强多了，音效也很高，听歌很舒适，值得推荐。早买早享受！14拍照真的很好看！比13强太多啦，拍视频也绝绝子！很喜欢紫色！而且电池的使用时间也比之前的机型要棒很多，因为不喜欢灵动岛，所以买了这个标准版，还是这个看起来顺眼。续航能力很好，拍照效果很清晰，运行速度很畅快，非常不错，午夜色比较清晰﹏靓丽，外形外观，没有多大改变，刘海屏有较大的变化，摄像头排布没有变化，运行速度挺快，流畅度也没的说，总体效果，很满意，很喜欢。,2022-11-24 14:51,星光色128GB
5,心***1,PLUS会员,5,"外形外观：我选的是苹果14星光白，其实感觉和苹果13基本没啥区别，星光白也就是白色，外观很苹果
屏幕音效：屏幕显示很清晰，不输国产旗舰，音质也挺好，声音响亮，
拍照效果：拍照效果很好，总的来说，还是很愿意带着iPhone 14出门拍照的，拍人效果不错，拍风景曝光、色彩控制成熟，还有滤镜可以使用。当然，缺点也不是没有，超广角畸变太大（视频时防抖效果好），人像缺乏美颜优化，夜景也没有国产手机设计得那么强大。但瑕不掩瑜，可以确定的说，iPhone 14拍照很强，虽然还不能称之为拍照旗舰
运行速度：Phone 14采用了A15满血处理器，装备5核图形处理器，内存增加到6GB，容量128GB起。屏幕为6.1英寸OLED，1170 x 2532分辨率，60Hz刷新率，800nit典型亮度，1200nit峰值亮度。速度很快不输国产旗舰
待机时间：待机一天够用，轻度使用
其他特色：主摄为1200万，位移防抖，采用更大的CMOS，单个像素尺寸1.9μm，f/1.5大光圈，7P镜头，26mm焦距。以及超广角镜头，13mm焦距。前置1200万像素原深感摄像头，支持人脸识别。视频方面，电影效果模式最高可达4K HDR 30 fps，运动模式最高可达2.8K 60 fps 。",2022-11-24 14:51,星光色128GB
6,e***n,PLUS会员,5,用过手机真是太喜欢了，音效屏幕清晰，显示清楚不花屏，超级舒服拍照效果：拍照很清晰呢，再也不怕拍不出好照片运行速度：运行速度也不错，使用起来不是很烫待机时间：待机时间够用的，外观设计风格简约大气上档次。屏幕大小尺寸比较合适。屏幕的分辨率比较清晰。颜色是黑色的，比较喜欢。音质效非常不错。听歌听音乐非常舒心。拍照效果特别好。照片儿拍出来比较漂亮。运行速度特别快。待机时间比较长。玩游戏比较棒。外观很漂亮，系统很流畅，界面很友好，就是文件管理不如安卓方便和个性化。这款手机颜值非常高，苹果手机感觉真的不是安卓手机能比的，系统流畅度太棒了，其他各方面也一样的强，运行非常流畅没有卡顿。显示屏看着很舒服，非常漂亮。手感超好很喜欢。除了运行更流畅之外，它的机身手感也很好超薄。拍照的很像非常的清晰、很好看，屏幕分辨率显示很高，眼睛看着很舒服，音质很好，已经使用好几天了，体验感非常好，没有丝毫的卡顿迹象，运行 APP 都非常流畅。速度非常完美，尺寸比较合适，续航能力强，配合原装充电器，一个半小时充满电。到货快，好评。,2022-11-24 14:51,星光色128GB
7,p***l,PLUS会员,5,自动对焦，即使在低亮度环境下也能实现较快的对焦速度，后置依旧依旧采用1200万像素广角/超广角双摄配置，全新的1200 万像素主摄像头，传感器更大，单位像素达到1.9 μm，F/1.5光圈，传感器位移 OIS，低光捕获提高了49%。夜间模式曝光速度提升两倍。视频新增运动防抖模式，动态拍摄更加稳定。用了快半月，没有出现起热，卡顿的现象，对于我不玩游戏的人来说，14挺好的，刚开始买的时候看见评论，各种担心，用了一段时间后感觉很不错，屏幕非常细腻，很好，看上去非常舒服，比一般手机强多了，音效也很高，听歌很舒适，值得推荐。早买早享受！14拍照真的很好看！比13强太多啦，拍视频也绝绝子！很喜欢紫色！而且电池的使用时间也比之前的机型要棒很多，因为不喜欢灵动岛，所以买了这个标准版，还是这个看起来顺眼。续航能力很好，拍照效果很清晰，运行速度很畅快，非常不错，午夜色比较清晰...靓丽，外形外观，没有多大改变，刘海屏有较大的变化，摄像头排布没有变化，运行速度挺快，流畅度也没的说，总体效果，很满意,2022-11-24 14:51,星光色128GB
8,w***7,PLUS会员,5,前置采用新的原深感镜头，1.92mu;m条素，支持言动对焦，即使在低亮度环境下也能实现较快的对焦速度，置依日农日采用1200万像素广角/超广角双摄配置，全新的1200万像素主摄像头，传感器更大，单位像素达到1.9&mu;m.F/1.5光愚，传感器位格OIS，低光捕获提高了49%。夜司模式曝光速度提开两倍。视频新增运动防抖模式，动态拍摄更加稳定。用了快半月，没有出现起热，卡顿现象，对于我不玩游戏的人来说14廷好的，刚开始买的时候看见评论，各种担心，用了一段时间后感觉很不错，屏幕非常細腻，很好，看上去非常舒服，比一股手机强客了，育效也很高，听歌很舒适，值得推荐。早买早享受！14拍照真的很好看！比13强大多啦，拍沉频也绝绝子！很喜欢紫色：而里电池的境用时司也比之前的机型要楼很多，因为不喜欢灵动鸟，所以买了这个标准版，还是这个看起来顺眼。续航能力很好，拍照效果很清晰，运行速度很畅快，非常不错，午夜色比较清晰_靓丽，外形外观，没有多大改变，刘海有较大的变化，摄像头排布没有交化，运行速度挺快，流畅度也没的说，总体效果很,2022-11-24 14:51,星光色128GB
9,晓***妈,,5,广角拍摄，即使在低亮度环境下也能实现较快的对焦速度，后置依旧依旧采用1200万像素广角/超广角双摄配置，全新的1200 万像素主摄像头，传感器更大，单位像素达到1.9 μm，F/1.5光圈，传感器位移 OIS，低光捕获提高了49%。夜间模式曝光速度提升两倍。视频新增运动防抖模式，动态拍摄更加稳定。用了快半月，没有出现起热，卡顿的现象，对于我不玩游戏的人来说，14挺好的，刚开始买的时候看见评论，各种担心，用了一段时间后感觉很不错，屏幕非常细腻，很好，看上去非常舒服，比一般手机强多了，音效也很高，听歌很舒适，值得推荐。早买早享受！14拍照真的很好看！比13强太多啦，拍视频也绝绝子！很喜欢白色不过时！而且电池的使用时间也比之前的机型要棒很多，因为不喜欢灵动岛，所以买了这个标准版。续航能力很好，拍照效果很清晰，运行速度很畅快，非常不错，午夜色比较清晰...靓丽，外形外观，没有多大改变，刘海屏有较大的变化，摄像头排布没有变化，运行速度挺快，流畅度也没的说，很是满意,2022-11-24 14:51,星光色128GB
